OmittedReferenceForce_N,Sensitivity_V_per_N,SensitivityChange_percent,OmittedPointPredictionError_N
0,-0.000407805547407072,-0.000457601096304217,-0.00526199217958453
-0.314,-0.000407804041538186,-0.000826860907632287,-0.00525182055960571
-0.411,-0.00040781832910124,0.00267664652742194,0.0149348642972728
-0.695,-0.000407820005237063,0.00308765813923362,0.0127079582530644
-0.891,-0.000407807790304859,9.23883626047228e-05,0.000321958708217496
-1.186,-0.000407805680963201,-0.000424851292146755,-0.00120296253091157
-1.676,-0.000407797917445911,-0.002328572762611,-0.00502772384786265
-2.656,-0.000407803633346694,-0.000926955088886849,-0.00135694154612409
-5.598,-0.000407796265947848,-0.00273354285582617,-0.00203472006121341
-10.501,-0.000407758702443601,-0.0119446319631344,-0.00488789532282752
0.126,-0.000407806364767043,-0.000257173162743207,-0.00438249762375893
1.097,-0.000407806015658514,-0.00034277938711913,0.00215222831065254
2.078,-0.000407810843121231,0.000840981024485821,-0.00221622638778607
4.039,-0.000407801954068143,-0.00133873734070589,0.00163337258218998
8.942,-0.000407754921234347,-0.0128718366015357,0.00670442332220844
13.845,-0.000407964399567379,0.038495138612249,-0.0127389942225697
